Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3.7V 1000mAh Flat LiPo Battery ","Powering the Device through USB Type C Charging",1,7.21,"https://www.aliexpress.com/item/1005006861217922.html?spm=a2g0o.cart.0.0.7c2a38da9PFcmA&mp=1&pdp_npi=6%40dis%21USD%21USD%2010.02%21USD%207.21%21%21USD%207.21%21%21%21%40210337c117762509739002039ea123%2112000038543910447%21ct%21AU%216227830470%21%211%210%21","AliExpress"
"Boxed Colored Mixed Copper Wire Set","Wiring the Project together",1,7.25,"https://www.aliexpress.com/item/1005010286943297.html?spm=a2g0o.cart.0.0.1c6638daiUQl4M&mp=1&pdp_npi=6%40dis%21USD%21USD%2015.77%21USD%207.25%21%21USD%207.25%21%21%21%402101e83017762490043057225ea911%2112000052323237009%21ct%21AU%216227830470%21%211%210%21","AliExpress"
"10uF 16VDC Electrolytic Capacitor","Power Capacitor",1,0.21,"https://www.jaycar.com.au/10uf-16vdc-electrolytic-rb-capacitor/p/RE6066","Jaycar"
"2PCS 100nF 50VDC Ceramic Capacitors","Power Capacitor ~ Limiting Noise/Buzzing",1,0.39,"https://www.jaycar.com.au/100nf-50vdc-ceramic-capacitors-pack-of-2/p/RC5360","Jaycar"
"20PCS Switch SS12D00 3Pin","Power Switch",1,1.73,"https://www.aliexpress.com/item/1005011902173007.html?spm=a2g0o.cart.0.0.485b38daXeHb1M&mp=1&pdp_npi=6%40dis%21USD%21USD%201.88%21USD%201.73%21%21USD%201.73%21%21%21%4021030a4b17762485766881156ec848%2112000056966288281%21ct%21AU%216227830470%21%211%210%21","AliExpress"
"Micro Tactile Push Button Switch Kit","Buttons used for commands in song changing etc.",1,3.83,"https://www.aliexpress.com/item/1005010507297770.html?spm=a2g0o.cart.0.0.1f9a38daO3lluH&mp=1&pdp_npi=6%40dis%21USD%21USD%208.32%21USD%203.83%21%21USD%203.83%21%21%21%4021030a4b17762481440025157ec848%2112000052633352236%21ct%21AU%216227830470%21%211%210%21","AliExpress"
"10 PCS 4Pin 3.5mm Headphone Jack","Transferring the AUX Signal to Bluetooth",1,1.96,"https://www.aliexpress.com/item/1005010463642476.html?spm=a2g0o.cart.0.0.66b838da2isJtV&mp=1&pdp_npi=6%40dis%21USD%21USD%204.17%21USD%200.99%21%21USD%200.99%21%21%21%4021030a4b17762479201933151ec848%2112000052496756303%21ct%21AU%216227830470%21%211%210%21","AliExpress"
"5PCS TP4056 USB-Type C Module","Charging the LiPo Battery",1,2.27,"https://www.aliexpress.com/item/4001203626107.html?spm=a2g0o.productlist.main.8.4b6058c9PEXDWM&aem_p4p_detail=20260415025833592963580956560000012561&algo_pvid=92d6f9d7-93c8-4b7d-8f7c-0d77df5f9f9d&algo_exp_id=92d6f9d7-93c8-4b7d-8f7c-0d77df5f9f9d-7&pdp_ext_f=%7B%22order%22%3A%221375%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.27%210.99%21%21%212.27%210.99%21%40210319b717762471131275800e89d3%2110000015289337592%21sea%21AU%216227830470%21ACX%211%210%21n_tag%3A-29919%3Bd%3A53429af5%3Bm03_new_user%3A-29894%3BpisId%3A5000000203708866&curPageLogUid=Gc8iSIkpp05V&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001203626107%7C_p_origin_prod%3A&search_p4p_id=20260415025833592963580956560000012561_2","AliExpress"
"5PCS PAM8403 Audio Amplifier","Amplifying Audio",5,1.82,"https://www.aliexpress.com/item/1005006012531320.html?src=google&snpsid=1&src=google&albch=shopping&acnt=742-864-1166&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005006012531320&ds_e_product_merchant_id=5551326180&ds_e_product_country=AU&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=21819463808&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=21819486122&gbraid=0AAAAA99aYpcVEaTMLegP8g-cetMq-fcGg&gclid=CjwKCAjw7vzOBhBxEiwAc7WNr5C0edXouHt7NdVP-YzVsy0rhXsywmOPsdjmTDRLxEnEsy8odVeBPxoCA_sQAvD_BwE","AliExpress"
"MH-M18 Bluetooth Audio Reciever Module","Bluetooth Audio Module",1,0.72,"https://www.aliexpress.com/item/1005008403167252.html?src=google&src=google&albch=shopping&acnt=742-864-1166&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005008403167252&ds_e_product_merchant_id=5445838537&ds_e_product_country=AU&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=21819463808&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=21819486122&gbraid=0AAAAA99aYpcuJl3JrPrIiGvkhutc-FVui&gclid=Cj0KCQjwy_fOBhC6ARIsAHKFB78owcspyuZz5UEpcIO8JUmI2JqsfswAvUzwBhFxBdjDg_KpqD6w6w0aAkm4EALw_wcB","AliExpress"
